,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,linguisticblocs,militarydefenseblocs,religions,economicblocs,politicalregionalblocs
10,/Event/1003230454/1003389023/1005437347,1005437347,AS,IN,C18,2018-11-26T06:56:00,2018-11-28T12:48:00,C17,1003230454,eng,,mid-day.com,,7.0,5.0,8.0,3.0,16.0,74.0,70.0,8.0,2.0,35.0,9.0,16.0,5.0,2.0,18.0,6.0,1.0,23.0,,,Hindu,,
11,/Event/1003230454/1003400079,1003400079,AS,IN,C18,2018-11-26T00:07:00,2018-11-26T07:15:00,C17,1003230454,eng,,sports.ndtv.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Hindu,,
12,/Event/1003230454/1003400079/1005351870,1005351870,,,,2018-11-26T07:15:00,2018-11-28T11:02:00,,1003230454,eng,,latestly.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,,
13,/Event/1003230454/1003410726,1003410726,AS,IN,C18,2018-11-26T00:07:00,2018-11-26T07:35:00,C17,1003230454,eng,,dailyexcelsior.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Hindu,,
14,/Event/1003230454/1003410726/1005359448,1005359448,AS,IN,C18,2018-11-26T07:35:00,2018-11-28T11:11:00,C17,1003230454,eng,,hindustantimes.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,Hindu,,
15,/Event/1003230454/1003418516,1003418516,AS,IN,C18,2018-11-26T00:07:00,2018-11-26T07:47:00,C17,1003230454,eng,,aninews.in,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Hindu,,
16,/Event/1003230454/1003419362,1003419362,,USA,C4,2018-11-26T00:07:00,2018-11-26T07:48:00,C2,1003230454,eng,,channelnewsasia.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Eng,NATO,Christian,NAFTA,
17,/Event/1003230454/1003424675,1003424675,EU,UK,C4,2018-11-26T00:07:00,2018-11-26T07:58:00,C2,1003230454,eng,,bbc.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Eng,NATO,Christian,,
18,/Event/1003230454/1003425896,1003425896,,,,2018-11-26T00:07:00,2018-11-26T08:01:00,,1003230454,eng,,dnaindia.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
19,/Event/1003230454/1003425896/1004639276,1004639276,,CA,C4,2018-11-26T08:01:00,2018-11-27T15:17:00,C2,1003230454,eng,,cbc.ca,,,,,,,,,,,,,,,,,,,,Eng,NATO,Christian,NAFTA,
20,/Event/1003230454/1003434120,1003434120,,,,2018-11-26T00:07:00,2018-11-26T08:14:00,,1003230454,eng,,cricbuzz.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
21,/Event/1003230454/1003441793,1003441793,,,,2018-11-26T00:07:00,2018-11-26T08:25:00,,1003230454,eng,,crictracker.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
22,/Event/1003230454/1003446883,1003446883,AU,AU,C4,2018-11-26T00:07:00,2018-11-26T08:30:00,C2,1003230454,eng,,watoday.com.au,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Eng,,Christian,,PIF
23,/Event/1003230454/1003451370,1003451370,,,,2018-11-26T00:07:00,2018-11-26T08:37:00,,1003230454,eng,,latestly.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
24,/Event/1003230454/1003455826,1003455826,AS,IN,C18,2018-11-26T00:07:00,2018-11-26T08:44:00,C17,1003230454,eng,,rediff.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Hindu,,
25,/Event/1003230454/1003459213,1003459213,AU,AU,C4,2018-11-26T00:07:00,2018-11-26T08:49:00,C2,1003230454,eng,,sbs.com.au,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Eng,,Christian,,PIF
26,/Event/1003230454/1003470309,1003470309,,,,2018-11-26T00:07:00,2018-11-26T09:05:00,,1003230454,eng,,espncricinfo.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
27,/Event/1003230454/1003476775,1003476775,AS,IN,C18,2018-11-26T00:07:00,2018-11-26T09:15:00,C17,1003230454,eng,,business-standard.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Hindu,,
28,/Event/1003230454/1003476804,1003476804,AS,IN,C18,2018-11-26T00:07:00,2018-11-26T09:15:00,C17,1003230454,eng,,business-standard.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Hindu,,
29,/Event/1003230454/1003485462,1003485462,,,,2018-11-26T00:07:00,2018-11-26T09:28:00,,1003230454,eng,,latestly.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
30,/Event/1003230454/1003490893,1003490893,,,,2018-11-26T00:07:00,2018-11-26T09:35:00,,1003230454,eng,,cricket.com.au,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
31,/Event/1003230454/1003496140,1003496140,AF,NG,C12,2018-11-26T00:07:00,2018-11-26T09:42:00,C5,1003230454,eng,Independent,vanguardngr.com,ChatGPT,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Muslim,AfCFTA,AU
32,/Event/1003230454/1003531293,1003531293,AU,NZ,C4,2018-11-26T00:07:00,2018-11-26T10:32:00,C2,1003230454,eng,Center-left,stuff.co.nz,ChatGPT,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Eng,,Irreligion,,PIF
33,/Event/1003230454/1003580210,1003580210,AS,IN,C18,2018-11-26T00:07:00,2018-11-26T11:37:00,C17,1003230454,eng,Independent,pragativadi.com,https:en.wikipedia.orgwikiPragativadi,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Hindu,,
34,/Event/1003230454/1003585248,1003585248,AS,IN,C18,2018-11-26T00:07:00,2018-11-26T11:43:00,C17,1003230454,eng,Center-left,scroll.in,ChatGPT,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Hindu,,
35,/Event/1003230454/1003620608,1003620608,AS,IN,C18,2018-11-26T00:07:00,2018-11-26T12:29:00,C17,1003230454,eng,,thehindu.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Hindu,,
36,/Event/1003230454/1003623979,1003623979,AF,ZA,C4,2018-11-26T00:07:00,2018-11-26T12:33:00,C17,1003230454,eng,,thesouthafrican.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Christian,AfCFTA,AU
37,/Event/1003230454/1003633796,1003633796,EU,UK,C4,2018-11-26T00:07:00,2018-11-26T12:47:00,C2,1003230454,eng,,bbc.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Eng,NATO,Christian,,
38,/Event/1003230454/1003673811,1003673811,,,,2018-11-26T00:07:00,2018-11-26T13:36:00,,1003230454,eng,,canindia.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
39,/Event/1003230454/1003687520,1003687520,,,,2018-11-26T00:07:00,2018-11-26T13:54:00,,1003230454,eng,,forbes.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
40,/Event/1003230454/1003707967,1003707967,,,,2018-11-26T00:07:00,2018-11-26T14:19:00,,1003230454,eng,,outlookindia.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
41,/Event/1003230454/1003747109,1003747109,AS,PK,C20,2018-11-26T00:07:00,2018-11-26T15:08:00,C5,1003230454,eng,Center,pakistantoday.com.pk,ChatGPT,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Muslim,,
42,/Event/1003230454/1003784530,1003784530,,,,2018-11-26T00:07:00,2018-11-26T15:57:00,,1003230454,eng,,bdcrictime.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
43,/Event/1003230454/1003882941,1003882941,,,,2018-11-26T00:07:00,2018-11-26T18:10:00,,1003230454,eng,,inewsguyana.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
44,/Event/1003230454/1004052317,1004052317,AS,PK,C20,2018-11-26T00:07:00,2018-11-26T22:55:00,C5,1003230454,eng,,nation.com.pk,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Muslim,,
45,/Event/1003230454/1004063842,1004063842,AS,PK,C20,2018-11-26T00:07:00,2018-11-26T23:17:00,C5,1003230454,eng,,pakobserver.net,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Muslim,,
46,/Event/1003230454/1004251820,1004251820,AS,IN,C18,2018-11-26T00:07:00,2018-11-27T06:27:00,C17,1003230454,eng,,mid-day.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Hindu,,
47,/Event/1003230454/1004864929,1004864929,AS,IN,C18,2018-11-26T00:07:00,2018-11-27T20:24:00,C17,1003230454,eng,,newindianexpress.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Hindu,,
48,/Event/1003230454/1004935254,1004935254,AF,ZW,,2018-11-26T00:07:00,2018-11-27T22:20:00,C11,1003230454,eng,Pro-government,chronicle.co.zw,ChatGPT,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Christian,,AU
49,/Event/1003230454/1005009878,1005009878,AU,NZ,C4,2018-11-26T00:07:00,2018-11-28T00:39:00,C2,1003230454,eng,Center-left,stuff.co.nz,ChatGPT,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Eng,,Irreligion,,PIF
50,/Event/1003294976,1003294976,,,,2018-11-26T03:17:00,2018-11-26T03:17:00,,0,eng,,southasiajournal.net,,,,,,,,,,,,,,,,,,,,,,,,
