,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,linguisticblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,politicalregionalblocs,economicblocs
35,/Event/7440884593/7440936667/7446300158,7446300158,,USA,C4,2023-03-10T22:19:00,2023-03-14T11:51:00,C2,7440884593,eng,,eagletribune.com,,Eng,NATO,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,NAFTA
36,/Event/7440884593/7440936667/7446301703,7446301703,,,,2023-03-10T22:19:00,2023-03-14T11:52:00,,7440884593,eng,,malawi24.com,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
37,/Event/7440884593/7440936667/7446301485,7446301485,,,,2023-03-10T22:19:00,2023-03-14T11:53:00,,7440884593,eng,,foreignaffairs.co.nz,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
38,/Event/7440884593/7440936667/7446314520,7446314520,,,,2023-03-10T22:19:00,2023-03-14T12:00:00,,7440884593,eng,,amnesty.org,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
39,/Event/7440884593/7440936667/7446420277,7446420277,EU,UK,C4,2023-03-10T22:19:00,2023-03-14T13:06:00,C2,7440884593,eng,Center-left,dailymail.co.uk,ChatGPT,Eng,NATO,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
40,/Event/7440884593/7440936667/7446524348,7446524348,,,,2023-03-10T22:19:00,2023-03-14T14:06:00,,7440884593,eng,,devdiscourse.com,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
41,/Event/7440884593/7440936667/7446542239,7446542239,AU,AU,C4,2023-03-10T22:19:00,2023-03-14T14:16:00,C2,7440884593,eng,,au.news.yahoo.com,,Eng,,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,PIF,
42,/Event/7440884593/7440936667/7446587417,7446587417,,USA,C4,2023-03-10T22:19:00,2023-03-14T14:43:00,C2,7440884593,eng,,pbs.org,,Eng,NATO,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,NAFTA
43,/Event/7440884593/7440936667/7446697800,7446697800,AF,ZA,C4,2023-03-10T22:19:00,2023-03-14T15:52:00,C17,7440884593,eng,,news24.com,,,,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,AU,AfCFTA
44,/Event/7440884593/7440936667/7446717412,7446717412,,USA,C4,2023-03-10T22:19:00,2023-03-14T16:05:00,C2,7440884593,eng,,csmonitor.com,,Eng,NATO,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,NAFTA
45,/Event/7440884593/7440936667/7446989192,7446989192,AS,BD,C20,2023-03-10T22:19:00,2023-03-14T19:17:00,C5,7440884593,eng,Center-left,thedailystar.net,ChatGPT,,,Muslim,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
46,/Event/7440884593/7440974027,7440974027,AS,IN,C18,2023-03-10T21:28:00,2023-03-10T23:04:00,C17,7440884593,eng,,firstpost.com,,,,Hindu,,,,,,,,,,,,,,,,,,,,
47,/Event/7440884593/7440974027/7441994069,7441994069,,,,2023-03-10T23:04:00,2023-03-11T16:48:00,,7440884593,eng,,nationalpost.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
48,/Event/7440884593/7440974027/7442168426,7442168426,,,,2023-03-10T23:04:00,2023-03-11T19:52:00,,7440884593,eng,,nationalpost.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
49,/Event/7440884593/7440974027/7442193372,7442193372,,,,2023-03-10T23:04:00,2023-03-11T20:24:00,,7440884593,eng,,msn.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
50,/Event/7440884593/7440974027/7442237291,7442237291,,,,2023-03-10T23:04:00,2023-03-11T21:24:00,,7440884593,eng,,msn.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
51,/Event/7440884593/7440974027/7442265820,7442265820,,USA,C4,2023-03-10T23:04:00,2023-03-11T21:58:00,C2,7440884593,eng,,sandiegouniontribune.com,,Eng,NATO,Christian,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,NAFTA
52,/Event/7440884593/7440974027/7442265820/7442270108,7442270108,,,,2023-03-11T21:58:00,2023-03-11T22:04:00,,7440884593,eng,,nationalpost.com,,,,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,
53,/Event/7440884593/7440974027/7442266920,7442266920,,,,2023-03-10T23:04:00,2023-03-11T22:01:00,,7440884593,eng,,ca.sports.yahoo.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
54,/Event/7440884593/7440974027/7442272024,7442272024,,USA,C4,2023-03-10T23:04:00,2023-03-11T22:07:00,C2,7440884593,eng,,wtop.com,,Eng,NATO,Christian,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,NAFTA
55,/Event/7440884593/7440974027/7442275785,7442275785,,,,2023-03-10T23:04:00,2023-03-11T22:11:00,,7440884593,eng,,apnews.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
56,/Event/7440884593/7440974027/7442278353,7442278353,,,,2023-03-10T23:04:00,2023-03-11T22:15:00,,7440884593,eng,,houstonchronicle.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
57,/Event/7440884593/7440974027/7442285037,7442285037,,,,2023-03-10T23:04:00,2023-03-11T22:24:00,,7440884593,eng,,cp24.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
58,/Event/7440884593/7440974027/7442287893,7442287893,,,,2023-03-10T23:04:00,2023-03-11T22:33:00,,7440884593,eng,,msn.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
59,/Event/7440884593/7440974027/7442288957,7442288957,EU,UK,C4,2023-03-10T23:04:00,2023-03-11T22:39:00,C2,7440884593,eng,Center-left,dailymail.co.uk,ChatGPT,Eng,NATO,Christian,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
60,/Event/7440884593/7440974027/7442406401,7442406401,,USA,C4,2023-03-10T23:04:00,2023-03-12T01:26:00,C2,7440884593,eng,,pbs.org,,Eng,NATO,Christian,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,NAFTA
61,/Event/7440884593/7440974027/7442483421,7442483421,EU,DE,C5,2023-03-10T23:04:00,2023-03-12T03:28:00,C2,7440884593,eng,,dw.com,,Ger,NATO,Christian,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,EU
62,/Event/7440884593/7440974027/7442605870,7442605870,,,,2023-03-10T23:04:00,2023-03-12T06:11:00,,7440884593,eng,,rocketnews.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
63,/Event/7440884593/7440974027/7442619258,7442619258,,,,2023-03-10T23:04:00,2023-03-12T06:25:00,,7440884593,eng,,highlandstoday.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
64,/Event/7440884593/7440974027/7442622662,7442622662,,,,2023-03-10T23:04:00,2023-03-12T06:30:00,,7440884593,eng,,sonna.so,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
65,/Event/7440884593/7440974027/7442714159,7442714159,,,,2023-03-10T23:04:00,2023-03-12T08:04:00,,7440884593,eng,,asianlite.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
66,/Event/7440884593/7440974027/7442744643,7442744643,,,,2023-03-10T23:04:00,2023-03-12T08:32:00,,7440884593,eng,,nationalpost.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
67,/Event/7440884593/7440974027/7442769678,7442769678,,,,2023-03-10T23:04:00,2023-03-12T08:56:00,,7440884593,eng,,chinadailyhk.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
68,/Event/7440884593/7440974027/7442789328,7442789328,,,,2023-03-10T23:04:00,2023-03-12T09:14:00,,7440884593,eng,,msn.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
69,/Event/7440884593/7440974027/7442789328/7444349201,7444349201,,,,2023-03-12T09:14:00,2023-03-13T10:20:00,,7440884593,eng,,msn.com,,,,,,,,,,,,,,,,,,,,,,,,
70,/Event/7440884593/7440974027/7442879776,7442879776,AS,BH,,2023-03-10T23:04:00,2023-03-12T10:37:00,C13,7440884593,eng,Pro-government,bna.bh,ChatGPT,Ara,,Muslim,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,AL,
71,/Event/7440884593/7440974027/7442900447,7442900447,,,,2023-03-10T23:04:00,2023-03-12T10:57:00,,7440884593,eng,,telegraphindia.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
72,/Event/7440884593/7440974027/7443088326,7443088326,,,,2023-03-10T23:04:00,2023-03-12T13:47:00,,7440884593,eng,,devdiscourse.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
73,/Event/7440884593/7440974027/7443099720,7443099720,,,,2023-03-10T23:04:00,2023-03-12T13:58:00,,7440884593,eng,,sputniknews.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
74,/Event/7440884593/7440974027/7443139306,7443139306,EU,CY,,2023-03-10T23:04:00,2023-03-12T14:33:00,C4,7440884593,eng,,cyprus-mail.com,,,,Christian,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,EU
75,/Event/7440884593/7440974027/7443215887,7443215887,AS,IN,C18,2023-03-10T23:04:00,2023-03-12T15:45:00,C17,7440884593,eng,,thehindu.com,,,,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
76,/Event/7440884593/7440974027/7443264885,7443264885,,,,2023-03-10T23:04:00,2023-03-12T16:31:00,,7440884593,eng,,shorenewsnetwork.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
77,/Event/7440884593/7440974027/7443267484,7443267484,,,,2023-03-10T23:04:00,2023-03-12T16:35:00,,7440884593,eng,,devdiscourse.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
78,/Event/7440884593/7440974027/7443270722,7443270722,,,,2023-03-10T23:04:00,2023-03-12T16:37:00,,7440884593,eng,,msn.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
79,/Event/7440884593/7440974027/7443280138,7443280138,,,,2023-03-10T23:04:00,2023-03-12T16:47:00,,7440884593,eng,,ca.sports.yahoo.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
80,/Event/7440884593/7440974027/7443287891,7443287891,,USA,C4,2023-03-10T23:04:00,2023-03-12T16:55:00,C2,7440884593,eng,,edition.cnn.com,,Eng,NATO,Christian,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,NAFTA
81,/Event/7440884593/7440974027/7443372173,7443372173,,,,2023-03-10T23:04:00,2023-03-12T18:19:00,,7440884593,eng,,msn.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
82,/Event/7440884593/7440974027/7443409100,7443409100,,,,2023-03-10T23:04:00,2023-03-12T18:57:00,,7440884593,eng,,forbes.com,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
83,/Event/7440884593/7440974027/7443549724,7443549724,AS,PH,C18,2023-03-10T23:04:00,2023-03-12T21:43:00,C18,7440884593,eng,Center-right-populist,tribune.net.ph,https:en.wikipedia.orgwikiDaily_Tribune_(Philippines),,,Christian,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,ASEAN
84,/Event/7440884593/7440974027/7443576554,7443576554,AF,ZW,,2023-03-10T23:04:00,2023-03-12T22:17:00,C8,7440884593,eng,Pro-government,herald.co.zw,ChatGPT,,,Christian,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,AU,
85,/Event/7440884593/7440974027/7443582521,7443582521,,USA,C4,2023-03-10T23:04:00,2023-03-12T22:25:00,C2,7440884593,eng,,theepochtimes.com,,Eng,NATO,Christian,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,NAFTA
