source.uri,con_name,country,lang-name,language,Political-Alignment,wiki-url,Cultural-Class,Economic-Class,Continent-name,Continent,Religions,2019Rank-From,SafetyandSecurity,PersonalFreedom,Governance,SocialCapital,InvestmentEnvironment,EnterpriseConditions,MarketAccessandInfrastructure,EconomicQuality,LivingConditions,Health,Education,NaturalEnvironment,PowerDistance,Individualism,Masculinity,UncertaintyAvoidance,LongTermOrientation,Indulgence,economicblocs-name,economicblocs,militarydefenseblocs-name,militarydefenseblocs,politicalregionalblocs-name,politicalregionalblocs,linguisticblocs-name,linguisticblocs
en.globes.co.il,Israel,IL,Hebrew,heb,Center,https:en.wikipedia.orgwikiGlobes_(newspaper),C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
timesofisrael.com,Israel,IL,,,Center,ChatGPT,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
ynet.co.il,Israel,IL,,,Center,ChatGPT,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
haaretz.com,Israel,IL,,,Center-left,ChatGPT,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
israelnationalnews.com,Israel,IL,,,Center-left,ChatGPT,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
israelhayom.com,Israel,IL,Hebrew-English,heb-eng,Center-right,https:en.wikipedia.orgwikiIsrael_Hayom,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
israeltoday.co.il,Israel,IL,Hebrew-English,heb-eng,Center-right,https:en.wikipedia.orgwikiIsrael_Hayom,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
jpost.com,Israel,IL,,,Center-right,ChatGPT,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
maariv.co.il,Israel,IL,,,Center-right,ChatGPT,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
jerusalemonline.com,Israel,IL,English,eng,Conservative,https:en.wikipedia.orgwikiThe_Jerusalem_Post,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
calcalist.co.il,Israel,IL,,,Economic-focused-center-right,ChatGPT,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
9tv.co.il,Israel,IL,,,,,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
ar.timesofisrael.com,Israel,IL,Eng-Heb-Ara-Fre-Per,eng-ara-fre-per,,,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
elbashayernews.com,Israel,IL,,,,,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
fr.timesofisrael.com,Israel,IL,,,,,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
i24news.tv,Israel,IL,,,,,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
jewishnews.timesofisrael.com,Israel,IL,English-Hebrew-3 more,eng-ara-fre-per,,,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
kkl.org.il,Israel,IL,,,,,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
news.ynet.com,Israel,IL,,,,,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
ynetnews.com,Israel,IL,,,,,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
cphpost.dk,Denmark,DK,English,eng,Center,https:en.wikipedia.orgwikiThe_Copenhagen_Post,C8,C2,Europe,EU,Christian,1,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,European Union (EU),EU,North Atlantic Treaty Organization (NATO),NATO,,,,
finanz.dk,Denmark,DK,,,,,C8,C2,Europe,EU,Christian,1,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,European Union (EU),EU,North Atlantic Treaty Organization (NATO),NATO,,,,
sport24.co.za,Denmark,DK,,,,,C8,C2,Europe,EU,Christian,1,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,European Union (EU),EU,North Atlantic Treaty Organization (NATO),NATO,,,,
odt.co.nz,New-Zealand,NZ,,,Center,ChatGPT,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
rnz.co.nz,New-Zealand,NZ,,,Center,ChatGPT,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
rnz.co.nzinternationalpacific,New-Zealand,NZ,,,Center,ChatGPT,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
https:thespinoff.co.nz,New-Zealand,NZ,,,Center-left,ChatGPT,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
nbr.co.nz,New-Zealand,NZ,,,Center-left,ChatGPT,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
newsroom.co.nz,New-Zealand,NZ,,,Center-left,ChatGPT,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
scoop.co.nz,New-Zealand,NZ,,,Center-left,ChatGPT,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
stuff.co.nz,New-Zealand,NZ,,,Center-left,ChatGPT,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
nzherald.co.nz,New-Zealand,NZ,,,Center-right,ChatGPT,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
nbr.co.nz,New-Zealand,NZ,,,Ecomic-liberalism,https:en.wikipedia.orgwikiNational_Business_Review,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
waateanews.com,New-Zealand,NZ,,,,ChatGPT,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
citizen.co.za,New-Zealand,NZ,,,,,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
nationonenews.com,New-Zealand,NZ,,,,,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
nzcatholic.org.nz,New-Zealand,NZ,,,,,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
play.stuff.co.nz,New-Zealand,NZ,,,,,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
tvnz.co.nz,New-Zealand,NZ,,,,,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
westport-news.com,New-Zealand,NZ,,,,,C4,C2,Australia,AU,Irreligion,10,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,,,,,Pacific Islands Forum (PIF),PIF,English-speaking,Eng
mayonews.ie,Ireland,IE,English,eng,Center,https:en.wikipedia.orgwikiThe_Mayo_News,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
westernpeople.ie,Ireland,IE,,,Center,https:en.wikipedia.orgwikiWestern_People,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
www.rte.ienews,Ireland,IE,,,Center,ChatGPT,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
irishnews.com,Ireland,IE,English-Irish,eng-gle,Center-left,https:en.wikipedia.orgwikiThe_Irish_News,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
www.irishmirror.ie,Ireland,IE,,,Center-left,ChatGPT,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
www.irishnews.com,Ireland,IE,,,Center-left,ChatGPT,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
www.thejournal.ie,Ireland,IE,,,Center-left,ChatGPT,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
www.irishtimes.com,Ireland,IE,,,Center-left-liberal,ChatGPT,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
www.belfasttelegraph.co.uk,Ireland,IE,,,Center-right,ChatGPT,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
www.independent.ie,Ireland,IE,,,Center-right,ChatGPT,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
www.thesun.ie,Ireland,IE,,,Center-right,ChatGPT,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
www.thetimes.ie,Ireland,IE,,,Center-right,ChatGPT,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
www.irishexaminer.com,Ireland,IE,,,Center-right-liberal,ChatGPT,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
derryjournal.com,Ireland,IE,,,Irish-nationalism,https:en.wikipedia.orgwikiDerry_Journal,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
anphoblacht.com,Ireland,IE,Iri-Eng,iri-eng,Irish-republicanism-Left-wing,https:en.wikipedia.orgwikiAn_Phoblacht,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
carlow-nationalist.ie,Ireland,IE,,,Nationalism,https:en.wikipedia.orgwikiThe_Nationalist_(Carlow),C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
donegaldemocrat.ie,Ireland,IE,,,Nationalism,https:en.wikipedia.orgwikiDonegal_Democrat,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
echolive.ie,Ireland,IE,,,Populist,https:en.wikipedia.orgwikiThe_Echo_(Cork_newspaper),C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
irishcatholic.com,Ireland,IE,,,Roman-Catholicism,https:en.wikipedia.orgwikiThe_Irish_Catholic,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
irishcatholic.ie,Ireland,IE,,,Roman-Catholicism,https:en.wikipedia.orgwikiThe_Irish_Catholic,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
anglocelt.ie,Ireland,IE,English,eng,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
banbridgeleader.co.uk,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
belfastmedia.com,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
belfasttelegraph.co.uk,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
clarechampion.ie,Ireland,IE,English,eng,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
colerainetimes.co.uk,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
connachttribune.ie,Ireland,IE,English,eng,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
donegalnow.com,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
dundalkdemocrat.ie,Ireland,IE,English,eng,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
entertainment.ie,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
farmersjournal.ie,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
fermanaghherald.com,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
herald.ie,Ireland,IE,English,eng,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
imt.ie,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
independent.ie,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
irishexaminer.com,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
irishtimes.com,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
leinsterexpress.ie,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
leitrimobserver.ie,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
limerickleader.ie,Ireland,IE,English,eng,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
lisburntoday.co.uk,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
longfordleader.ie,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
portadowntimes.co.uk,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
sinnfein.ie,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
southernstar.ie,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
thejournal.ie,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
theliberal.ie,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
tipperarystar.ie,Ireland,IE,English,eng,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
wexfordpeople.ie,Ireland,IE,English,eng,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
wicklownews.net,Ireland,IE,,,,,C4,C2,Europe,EU,Christian,11,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,low,low,high,European Union (EU),EU,,,,,English-speaking,Eng
icelandreview.com,Iceland,IS,,,Center,ChatGPT,,,Europe,EU,Christian,8,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
ruv.is,Iceland,IS,,,Center,ChatGPT,,,Europe,EU,Christian,8,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
dv.is,Iceland,IS,,,Center-left,ChatGPT,,,Europe,EU,Christian,8,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
https:kjarninn.is,Iceland,IS,,,Center-left-liberal,ChatGPT,,,Europe,EU,Christian,8,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
https:stundin.is,Iceland,IS,,,Center-left-liberal,ChatGPT,,,Europe,EU,Christian,8,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
frettabladid.is,Iceland,IS,,,Center-right-conservative,ChatGPT,,,Europe,EU,Christian,8,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
mbl.is,Iceland,IS,,,Right-wing-conservative,ChatGPT,,,Europe,EU,Christian,8,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
visir.is,Iceland,IS,,,Right-wing-conservative,ChatGPT,,,Europe,EU,Christian,8,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
bt.no,Norway,NO,,,Center-left,,C8,C2,Europe,EU,Christian,3,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
dagsavisen.no,Norway,NO,,,Center-left,,C8,C2,Europe,EU,Christian,3,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
adressa.no,Norway,NO,,,Center-right,,C8,C2,Europe,EU,Christian,3,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
aftenposten.no,Norway,NO,,,Center-right,,C8,C2,Europe,EU,Christian,3,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
dn.no,Norway,NO,,,Center-right,,C8,C2,Europe,EU,Christian,3,best,best,best,best,best,best,best,best,best,best,best,best,low,high,low,low,low,high,,,North Atlantic Treaty Organization (NATO),NATO,,,,
